ID do Cliente,Nome,Estado,Municipio
0,0,,válido
1º Grupamento de ...,1º Grupamento de engenharia - João Pessoa,PB,João Pessoa
ACAO SOCIAL BEBERIBE,P M Beberibe,CE,Beberibe
ACARAPE,- Prefeitura Municipal de Acarape,CE,Acarape
ADECA,Associação de Caucaia,CE,Caucaia
ADS - CE,ASSOCIAÇÃO DE DESENVOLVEDORES,CE,
ADS -,PB,PB,
ADS-SP,.,SP,
ALUCOM-CE,Alucom Ltda,CE,
APEX - AGÊNCIA BR...,APEX - AGÊNCIA BRASILEIRA DE PROMOÇÃO DE EXPORTAÇÃO,DF,Brasília
ARRECADAÇÃO - CAS...,ARRECADAÇÃO - CASCAVEL,PR,Cascavel
Alucom - SD,Alucom - SD,,
Assembleia Legisl...,Assembleia Legislativa do Maranhão - ALEMA,MA,São Luís
Brasilia -,DF,DF,Brasília
CAMARA MUNICIPAL ...,SP,SP,
CANINDÉ,Prefeitura Municipal de Canindé,CE,Canindé
CEO,CEO Cascavel,PR,Cascavel
CLA - ALCÂNTARA,Comando da aeronáutica - Centro de lançamento de Alcântara - MA,MA,Alcântara
CLA - RAPOSA,Comando da aeronáutica - Centro de lançamento de Raposa MA,MA,Raposa
CLA - SAO LUIS,Comando da aeronáutica Centro de lançamento de Alcântara - MA,MA,São Luís
COMANDO DE OPERAÇ...,COMANDO DE OPERAÇÕES TERRESTRES - COTER,,Brasília
COMITE NICOLA MAR...,NICOLA MARANGUAPE,CE,Maranguape
COMITÊ PSDB,PSDB - FORTALEZA,CE,Fortaleza
CONSELHO FEDERAL ...,CONSELHO FEDERAL DE FARMÁCIA (CFF),,Brasília
CONSELHO REGIONAL...,CONSELHO REGIONAL DE CORRETORES DE IMÓVEIS 8º REGIÃO DF,DF,Brasília
CONSELHO REGIONAL...,COREN - MS,MS,
CONSELHO REGIONAL...,CONSELHO REGIONAL DE NUTRIÇÃO 1ª REGIÃO - DF,DF,Brasília
CONSÓRCIO INTERFE...,CONSÓRCIO INTERFEDERATIVO DE SAÚDE DO NORDESTE DE SANTA CATARINA - CISNORDESTE,SC,
COREF 3REGIAO - SC,Conselho regional de educação fisica 3ª região - SC,SC,
COREN - DF,Conselho regional de enfermagem - DF,DF,Brasília
COREN-CE,Conselho Regional de Enfermagem,CE,
CPOR - SP,Centro de preparação de oficiais da reserva - SP,SP,
CPS - SE,Capitania dos portos de Sergipe - Aracaju,SE,Aracaju
CRC,Conselho Regional de Contabilidade,,
Comando 8º Região...,Comando da 8ª Região militar - Belém,PA,Belém
Comando aeronáuti...,Ministério da defesa - Comando da aeronáutica - DF,DF,Brasília
DELEGACIA DA CAPI...,DELEGACIA DA CAPITANIA DOS PORTOS DE ITAJAI - SC,SC,Itajaí
DETRAN_MA,DEPARTAMENTO ESTADUAL DE TRÂNSITO MARANHÃO,MA,Maranhão
EPCE - CAMPINAS,Escola preparatória de cadeste do exército - Campinas/SP,SP,Campinas
Exercito Brasilei...,Exercito Brasileiro 20º Regimento de cavalaria blindado - MS,MS,
FMS - PB,Fundo municipal de saúde de João Pessoa,PB,João Pessoa
FUNAI,FUNAI DOURADOS,MS,Dourados
FUNASA - MS,Fundação nacional de saúde - MS,MS,Campo Grande
Fundação cultural...,Fundação cultural Palmares - DF,DF,Brasília
GO. ESTADO AMAPA ...,GOV ESTADO DO AMAPA EM BRASILIA,DF,Brasília
GREENGOLF,Green Golf Club,,
GRUPAMENTO DE APOIO,Ministério da defesa - Comando da aeronáutica - Grupamento de apoio,DF,Brasília
Galvani,Galvani Industria,,
HGF,Hospital Geral de Fortaleza,CE,Fortaleza
HOSP-SANTAANA,Hospital Santa Ana,CE,Fortaleza
HOSPITAL MEMORIAL...,Hospital Memorial Batista,CE,Fortaleza
HOSPITAL MUNICIPA...,HOSP - CAUCAIA,CE,Caucaia
HOSPITAL SANTA TE...,HOSPITAL CAUCAIA,CE,Caucaia
HUAC,Hospital Universitário Alcides Carneiro,PB,Campina Grande
HUJB - Cajazeiras,Hospital Universitário Julio Bandeira - PB,PB,Cajazeiras
HULW,Hospital universitário Lauro Wanderley,PB,João Pessoa
Hemocentro - PB,Hemocentro - João Pessoa,PB,João Pessoa
Hemocentro-PB,Hemocentro,PB,João Pessoa
Hias-CE,Hospital Albert Sabin,CE,Fortaleza
